answer,correct_answer,score
Liev Schriber,Liev Schreiber,0.982
Forest Whittiker,Forest Whitaker,0.98
John Travolta,John Travolta,1
Steven Segal,Steven Seagal,0.984
Blair Underwood,Blair Underwood,1
Cathlene Turner,Kathleen Turner,0.932
Tom Wilkenson,Tom Wilkinson,0.98
Toni Colette,Toni Collette,0.99
Bridget Fonda,Bridget Fonda,1
Daryl Hannah,Daryl Hannah,1
Beau Bridges,Beau Bridges,1
Mary Steinburgen,Mary Steenburgen,0.946
Vince Vaughn,Vince Vaughn,1
Danny Devito,Danny DeVito,1
Jimmy Smits,Jimmy Smits,1
Dan Akyroyd,Dan Aykroyd,0.983
Christoph Waltz,Christoph Waltz,1
Javier Bardem,Javier Bardem,1
John C. Reilly,John C. Reilly,1
Clint Eastwood,Clint Eastwood,1
Josh Brolin,Josh Brolin,1
Chris Rock,Chris Rock,1
Brad Pitt,Brad Pitt,1
Paul Rudd,Paul Rudd,1
John Cusack,John Cusack,1
Penelope Cruise,Penelope Cruz,0.982
Morgen Friedman,Morgan Freeman,0.912
Paul Newman,Paul Newman,1
Martin Lawrence,Martin Lawrence,1
Gweneth Paltro,Gwyneth Paltrow,0.919
Laura Dern,Laura Dern,1
Samuel L. Jackson,Samuel L. Jackson,1
Anette Benning,Annette Bening,0.937
Daniel Craigt,Daniel Craig,0.998
Brooke Shields ,Brooke Shields,1
Goldie Hawn ,Goldie Hawn,1
David Hasselhoff ,David Hasselhoff,1
Candice bergen,Candice Bergen,1
Ben Affleck ,Ben Affleck,1
Oliver Platt ,Oliver Platt,1
Paul Newman ,Paul Newman,1
Peter sarsguard,Peter Sarsgaard,0.931
Alan arkin ,Alan Arkin,1
David ducovney ,David Duchovny,0.931
Jeremy irons ,Jeremy Irons,1
Andie MacDowell ,Andie MacDowell,1
Helena bonham Carter ,Helena Bonham Carter,1
Brooke Shields,Brooke Shields,1
Robert Duva.,Robert Duvall,0.988
Clive Owen,Clive Owen,1
Albert Brooks,Albert Brooks,1
Uma Thurman ,Uma Thurman,1
Holly hunter ,Holly Hunter,1
Tim Robbins ,Tim Robbins,1
Catherine keener ,Catherine Keener,1
Martin Lawrence ,Martin Lawrence,1
Rosanna Arquette ,Rosanna Arquette,1
Tim Blake Nelson ,Tim Blake Nelson,1
Marry steinbergen,Mary Steenburgen,0.898
Peter og.,Peter O'toole,0.877
Ed burns,Ed Burns,1
Julianne Moore ,Julianne Moore,1
Beau bridges,Beau Bridges,1
Judy dench,Judi Dench,0.907
Albert finney ,Albert Finney,1
Kate Hudson ,Kate Hudson,1
Roy scheider ,Roy Scheider,1
Christian bale,Christian Slater,0.958
Alfred molina,Alfred Molina,1
Kiefer Sutherland ,Kiefer Sutherland,1
Mel Gibson,Mel Gibson,1
Paul Giamatti ,Paul Giamatti,1
Jeff goldblum ,Jeff Goldblum,1
Michelle Pfeiffer ,Michelle Pfeiffer,1
Jennifer Collins ,Jennifer Connelly,0.95
Adrian Brody ,Adrien Brody,0.945
Marion cottilard ,Marion Cotillard,0.941
Daniel day lewis,Daniel Day-Lewis,0.93
Kenneth brannaugh,Kenneth Branagh,0.957
Brendan Frasier ,Brendan Fraser,0.99
Emma Thompson ,Emma Thompson,1
Steve Buscemi ,Steve Buscemi,1
Kirsten dunst ,Kirsten Dunst,1
Malcolm McDonald ,Malcolm McDowell,0.959
Billy crystal ,Billy Crystal,1
Laura dern ,Laura Dern,1
Micheal keaton ,Michael Keaton,0.931
Judy dench ,Judi Dench,0.885
Jon hamm,Jon Hamm,1
Javier bardem ,Javier Bardem,1
Robert Downey jr,Robert Downey Jr.,0.989
Woody allen,Woody Allen,1
Tommy Lee jones ,Tommy Lee Jones,1
Maggie jylenhaal ,Maggie Gyllenhaal,0.928
Kyle McGlaghlan,Kyle MacLachlan,0.903
William hurt,William Hurt,1
Jude law,Jude Law,1
Oliver platt ,Oliver Platt,1
Candice Bergen,Candice Bergen,1
Vince vaughn,Vince Vaughn,1
John cusack ,John Cusack,1
Michael fassbender ,Michael Fassbender,1
Paul Rudd ,Paul Rudd,1
David hasseloff,David Hasselhoff,0.959
Danny devito ,Danny DeVito,1
Sandra bullock ,Sandra Bullock,1
Mike myers,Mike Myers,1
Ben affleck,Ben Affleck,1
Sam Worthington ,Sam Worthington,1
Brook shields,Brooke Shields,0.917
Gary oldman ,Gary Oldman,1
John c. Reilly ,John C. Reilly,1
Jeff Daniels,Jeff Daniels,1
Tea leoni ,Tea Leoni,1
Nicole Kidman ,Nicole Kidman,1
Alan Alda ,Alan Alda,1
Tim Blake Nelson ,Tim Blake Nelson,1
Sharon stone ,Sharon Stone,1
Sygourney weaver,Sigourney Weaver,0.855
David spade,David Spade,1
Ian holm ,Ian Holm,1
Cristoph waltz,Christoph Waltz,0.865
Gary sinease ,Gary Sinise,0.877
Denzel Washington ,Denzel Washington,1
Julian Moore ,Julianne Moore,0.926
Roger Moore ,Roger Moore,1
Meg Ryan,Meg Ryan,1
Andie macdowell,Andie MacDowell,1
Paul Rudd,Paul Rudd,1
Jeffrey Wright ,Jeffrey Wright,1
Adrien Brody,Adrien Brody,1
Chris Cooper ,Chris Cooper,1
Mary steenburgen ,Mary Steenburgen,1
Elen barkin,Ellen Barkin,0.928
Elizabeth Perkins ,Elizabeth Perkins,1
Ryan gosling ,Ryan Gosling,1
Mary Louise parker,Mary-Louise Parker,0.894
Gabriel Byrne ,Gabriel Byrne,1
Elen page ,Ellen Page,0.893
Keira knightly ,Keira Knightley,0.947
Luv Tyler,Liv Tyler,0.933
Sam Worthington ,Sam Worthington,1
mark wahlberg,Mark Wahlberg,1
Jamie Foxc,Jamie Foxx,0.993
Morgan frieman ,Morgan Freeman,0.939
